data engineer,"Atlanta, Georgia",320,2023-04-27 07:36:43.186508
data engineer,"San Francisco, California",344,2023-04-27 07:44:56.751494
data engineer,"Seattle, Washington",288,2023-04-27 07:54:13.368999
data engineer,"Seattle, Washington",285,2023-04-27 08:44:19.865775
data engineer,"New York City, New York",557,2023-04-27 08:51:38.630663
data engineer,"Washington, DC",715,2023-04-27 09:07:28.951441
data engineer,"Washington, DC",715,2023-04-27 10:11:36.040914
data engineer,"Boston, Massachusetts",334,2023-04-27 10:34:42.607619
data engineer,"Austin, Texas",266,2023-04-27 10:43:30.927285
data engineer,"Chicago, Illinois",374,2023-04-27 10:50:43.818183
data engineer,Los Angeles California,294,2023-04-27 11:00:28.573864
data engineer,"Dallas, Texas",359,2023-04-27 11:08:08.834911
data engineer,"Raleigh, North Carolina",258,2023-04-27 11:37:08.291797
data engineer,"Minneapolis, Minnesota",275,2023-04-27 11:44:14.330439
data engineer,"Portland, Oregon",263,2023-04-27 11:51:46.555551
data engineer,"San Diego, California",242,2023-04-27 11:58:43.229085
data engineer,"Phoenix, Arizona",262,2023-04-27 12:05:17.616458
data engineer,"Philadelphia, Pennsylvania",302,2023-04-27 12:27:42.971502
data engineer,"Pittsburgh, Pennsylvania",226,2023-04-27 12:36:14.745987
data engineer,"Nashville, Tennessee",232,2023-04-27 12:42:15.788868
data engineer,"Indianapolis, Indiana",234,2023-04-27 12:48:05.421363
data engineer,"Salt Lake City, Utah",222,2023-04-27 12:53:56.005728
data engineer,"Miami, Florida",247,2023-04-27 12:59:08.314847
data engineer,"Charlotte, North Carolina",296,2023-04-27 13:05:28.978125
data engineer,"Charlotte, North Carolina",307,2023-04-27 14:46:29.015472
data engineer,"Columbus, Ohio",245,2023-04-27 14:54:29.846347
data engineer,"Orlando, Florida",233,2023-04-27 15:00:32.727974
data engineer,"Tampa, Florida",274,2023-04-27 15:06:23.505802
data engineer,"St. Louis, Missouri",243,2023-04-27 15:13:01.461291
data engineer,"Kansas City, Missouri",245,2023-04-27 15:19:11.768588
data engineer,"Charlotte, North Carolina",297,2023-04-27 17:37:46.250221
data engineer,"Columbus, Ohio",235,2023-04-27 17:45:43.841583
data engineer,"Orlando, Florida",225,2023-04-27 17:51:47.658536
data engineer,"Tampa, Florida",262,2023-04-27 17:57:47.216186
data engineer,"St. Louis, Missouri",220,2023-04-27 18:04:56.287096
data engineer,"Kansas City, Missouri",227,2023-04-27 18:10:26.563560
data engineer,"San Antonio, Texas",220,2023-04-27 18:16:01.355171
data engineer,"Charlotte, North Carolina",295,2023-04-27 19:52:13.734661
data engineer,"Charlotte, North Carolina",297,2023-04-28 09:02:47.971721
data engineer,"Charlotte, North Carolina",293,2023-04-28 09:10:48.158834
data engineer,"Charlotte, North Carolina",299,2023-04-28 09:20:02.220040
data engineer,"Columbus, Ohio",238,2023-04-28 09:27:39.311975
data engineer,"Orlando, Florida",222,2023-04-28 09:32:55.983282
data engineer,"Tampa, Florida",267,2023-04-28 09:37:56.279796
data engineer,"St. Louis, Missouri",233,2023-04-28 09:43:28.380910
data engineer,"Kansas City, Missouri",231,2023-04-28 09:48:38.574198
data engineer,"San Antonio, Texas",220,2023-04-28 09:54:30.942124
data engineer,"Tampa, Florida",269,2023-04-28 10:50:21.703125
data engineer,"Tampa, Florida",267,2023-04-28 11:27:23.858552
data engineer,"Tampa, Florida",270,2023-04-28 11:38:05.673846
data engineer,"Tampa, Florida",268,2023-04-28 11:46:54.698087
data engineer,"Tampa, Florida",264,2023-04-28 11:59:21.270609
data engineer,"San Francisco, California",297,2023-04-28 12:12:31.798011
data engineer,"San Diego, California",225,2023-04-28 12:20:39.928658
data engineer,"Phoenix, Arizona",275,2023-04-28 12:33:21.606268
data engineer,"Phoenix, Arizona",274,2023-04-28 12:33:23.187940
data engineer,"Philadelphia, Pennsylvania",311,2023-04-28 12:40:51.228369
data engineer,"Philadelphia, Pennsylvania",312,2023-04-28 12:42:13.836403
data engineer,"Pittsburgh, Pennsylvania",225,2023-04-28 12:59:39.832956
data engineer,"Nashville, Tennessee",235,2023-04-28 13:08:29.292454
data engineer,"Indianapolis, Indiana",230,2023-04-28 13:14:23.480168
data engineer,"Salt Lake City, Utah",223,2023-04-28 13:20:55.906447
data engineer,"Miami, Florida",244,2023-04-28 13:26:44.462917
data engineer,"Charlotte, North Carolina",300,2023-04-28 13:33:10.509372
data engineer,"Columbus, Ohio",244,2023-04-28 13:41:26.679603
data engineer,"Orlando, Florida",221,2023-04-28 13:48:18.852044
data engineer,"St. Louis, Missouri",42,2023-04-28 13:54:23.985249
data engineer,"Kansas City, Missouri",243,2023-04-28 13:55:48.174389
data engineer,"San Antonio, Texas",226,2023-04-28 14:02:20.109805
data engineer,"Washington, DC",776,2023-04-28 14:28:06.667997
data engineer,"Phoenix, Arizona",271,2023-04-28 15:11:00.531187
data engineer,"Charlotte, North Carolina",285,2023-04-28 15:19:32.476799
data engineer,"Denver, Colorado",240,2023-04-28 15:27:28.976046
data engineer,"Houston, Texas",275,2023-04-28 15:34:07.861873
data engineer,Los Angeles California,297,2023-04-28 15:42:02.376930
data engineer,"San Jose, California",332,2023-04-28 15:50:47.917006
data engineer,"Seattle, Washington",269,2023-04-28 15:58:57.826736
data engineer,"Phoenix, Arizona",268,2023-04-28 16:11:07.606440
data engineer,"Charlotte, North Carolina",286,2023-04-28 16:18:53.315465
data engineer,"Washington, DC",775,2023-04-28 16:26:52.766889
